,Units,Simulation 1,Simulation 1,Simulation 2,Simulation 2,Simulation 3,Simulation 3,Simulation 4,Simulation 4,Simulation 5,Simulation 5,Simulation 6,Simulation 6,Simulation 7,Simulation 7,Simulation 8,Simulation 8,Simulation 9,Simulation 9,Simulation 10,Simulation 10,Simulation 11,Simulation 11,Simulation 12,Simulation 12,Simulation 13,Simulation 13,Simulation 14,Simulation 14,Simulation 15,Simulation 15,Simulation 16,Simulation 16,Simulation 17,Simulation 17,Simulation 18,Simulation 18,Simulation 19,Simulation 19,Simulation 20,Simulation 20,Simulation 21,Simulation 21,Simulation 22,Simulation 22,Simulation 23,Simulation 23,Simulation 24,Simulation 24,Simulation 25,Simulation 25,Simulation 26,Simulation 26,Simulation 27,Simulation 27,Simulation 28,Simulation 28,Simulation 29,Simulation 29,Simulation 30,Simulation 30,Simulation 31,Simulation 31,Simulation 32,Simulation 32,Simulation 33,Simulation 33,Simulation 34,Simulation 34,Simulation 35,Simulation 35,Simulation 36,Simulation 36,Simulation 37,Simulation 37,Simulation 38,Simulation 38,Simulation 39,Simulation 39,Simulation 40,Simulation 40,Simulation 41,Simulation 41,Simulation 42,Simulation 42,Simulation 43,Simulation 43,Simulation 44,Simulation 44,Simulation 45,Simulation 45,Simulation 46,Simulation 46,Simulation 47,Simulation 47,Simulation 48,Simulation 48,Simulation 49,Simulation 49,Simulation 50,Simulation 50,Simulation 51,Simulation 51,Simulation 52,Simulation 52,Simulation 53,Simulation 53,Simulation 54,Simulation 54,Simulation 55,Simulation 55,Simulation 56,Simulation 56,Simulation 57,Simulation 57,Simulation 58,Simulation 58,Simulation 59,Simulation 59,Simulation 60,Simulation 60,Simulation 61,Simulation 61,Simulation 62,Simulation 62,Simulation 63,Simulation 63,Simulation 64,Simulation 64,Simulation 65,Simulation 65,Simulation 66,Simulation 66,Simulation 67,Simulation 67,Simulation 68,Simulation 68,Simulation 69,Simulation 69,Simulation 70,Simulation 70,Simulation 71,Simulation 71,Simulation 72,Simulation 72,Simulation 73,Simulation 73,Simulation 74,Simulation 74,Simulation 75,Simulation 75,Simulation 76,Simulation 76,Simulation 77,Simulation 77,Simulation 78,Simulation 78,Simulation 79,Simulation 79,Simulation 80,Simulation 80,Simulation 81,Simulation 81,Simulation 82,Simulation 82,Simulation 83,Simulation 83,Simulation 84,Simulation 84,Simulation 85,Simulation 85,Simulation 86,Simulation 86,Simulation 87,Simulation 87,Simulation 88,Simulation 88,Simulation 89,Simulation 89,Simulation 90,Simulation 90,Simulation 91,Simulation 91,Simulation 92,Simulation 92,Simulation 93,Simulation 93,Simulation 94,Simulation 94,Simulation 95,Simulation 95,Simulation 96,Simulation 96,Simulation 97,Simulation 97,Simulation 98,Simulation 98,Simulation 99,Simulation 99,Simulation 100,Simulation 100,Simulation 101,Simulation 101,Simulation 102,Simulation 102,Simulation 103,Simulation 103,Simulation 104,Simulation 104,Simulation 105,Simulation 105,Simulation 106,Simulation 106,Simulation 107,Simulation 107,Simulation 108,Simulation 108,Simulation 109,Simulation 109,Simulation 110,Simulation 110,Simulation 111,Simulation 111,Simulation 112,Simulation 112,Simulation 113,Simulation 113,Simulation 114,Simulation 114,Simulation 115,Simulation 115,Simulation 116,Simulation 116,Simulation 117,Simulation 117,Simulation 118,Simulation 118,Simulation 119,Simulation 119,Simulation 120,Simulation 120,Simulation 121,Simulation 121,Simulation 122,
Shading efficiency,%,9.5,76.3,94.1,99.0,99.9,100.0,100.0,100.0,100.0,9.3,76.1,94.0,99.0,99.9,100.0,100.0,100.0,100.0,9.2,75.8,94.0,99.0,99.9,100.0,100.0,100.0,100.0,8.7,75.7,94.0,99.0,99.9,100.0,100.0,100.0,100.0,8.6,75.5,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.4,75.3,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.3,75.3,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.0,75.2,93.9,99.0,99.9,100.0,100.0,100.0,100.0,7.8,75.2,93.9,99.0,99.9,100.0,100.0,100.0,100.0,7.7,75.0,93.9,99.0,99.9,100.0,100.0,100.0,100.0,7.7,74.8,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.6,74.7,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.5,74.6,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.5,74.6,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.4,74.6,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.6,74.7,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.7,74.9,93.8,98.9,99.9,100.0,100.0,100.0,100.0,7.7,75.1,93.9,99.0,99.9,100.0,100.0,100.0,100.0,7.9,75.2,94.0,99.0,99.9,100.0,100.0,100.0,100.0,8.0,75.2,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.3,75.3,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.5,75.4,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.7,75.5,93.9,99.0,99.9,100.0,100.0,100.0,100.0,8.8,75.7,94.0,99.0,99.9,100.0,100.0,100.0,100.0,9.2,75.9,94.0,99.0,99.9,100.0,100.0,100.0,100.0,9.4,76.1,94.0,99.0,99.9,100.0,100.0,100.0,100.0,9.6,76.3,94.0,99.0,99.9,100.0,100.0,100.0,100.0,
Cosine efficiency,%,23.6,59.9,66.1,69.6,72.2,74.5,76.4,77.9,79.0,23.9,60.7,66.8,70.2,72.8,74.9,76.7,78.1,79.1,24.8,61.7,67.5,70.8,73.3,75.4,77.0,78.3,79.2,25.0,62.7,68.4,71.5,73.9,75.8,77.4,78.6,79.3,25.8,63.8,69.2,72.2,74.5,76.4,77.8,78.8,79.4,26.5,64.9,70.1,73.0,75.1,76.9,78.2,79.1,79.6,27.2,66.0,70.9,73.7,75.7,77.3,78.5,79.3,79.7,28.2,67.0,71.7,74.3,76.3,77.8,78.9,79.6,79.8,28.8,67.9,72.4,74.9,76.8,78.2,79.2,79.8,79.9,29.7,68.7,73.0,75.4,77.2,78.5,79.5,79.9,80.0,30.3,69.4,73.5,75.8,77.6,78.8,79.7,80.1,80.1,30.8,69.9,73.9,76.1,77.8,79.0,79.8,80.2,80.1,31.2,70.1,74.1,76.3,78.0,79.2,79.9,80.2,80.2,31.2,70.2,74.1,76.4,78.0,79.2,79.9,80.3,80.2,31.2,70.1,74.0,76.3,77.9,79.1,79.9,80.2,80.2,30.6,69.7,73.8,76.1,77.8,79.0,79.8,80.2,80.1,30.0,69.2,73.3,75.7,77.5,78.7,79.6,80.0,80.1,29.5,68.5,72.8,75.3,77.1,78.4,79.4,79.9,80.0,28.4,67.6,72.2,74.7,76.6,78.1,79.1,79.7,79.9,27.8,66.7,71.5,74.1,76.1,77.7,78.8,79.5,79.8,26.8,65.6,70.7,73.5,75.6,77.2,78.4,79.2,79.7,26.3,64.5,69.8,72.7,75.0,76.7,78.0,79.0,79.5,25.6,63.5,69.0,72.0,74.3,76.2,77.7,78.7,79.4,24.7,62.4,68.1,71.3,73.7,75.7,77.3,78.5,79.3,24.8,61.4,67.3,70.6,73.1,75.2,76.9,78.2,79.1,24.0,60.5,66.6,70.0,72.6,74.8,76.6,78.0,79.0,23.6,59.7,65.9,69.4,72.1,74.4,76.3,77.8,78.9,
Reflection efficiency,%,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.3,90.3,90.2,90.3,90.2,90.2,90.2,90.3,90.2,90.3,90.3,90.3,90.2,90.2,90.3,90.2,90.2,90.3,90.3,90.3,90.2,90.3,90.3,90.2,90.2,90.3,90.3,90.2,90.3,90.3,90.3,90.2,90.3,90.3,90.2,90.2,90.2,90.3,90.3,90.2,90.3,90.2,90.3,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.3,90.2,90.2,90.2,90.2,90.2,90.3,90.3,90.3,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.2,90.3,90.2,90.2,90.2,90.3,90.3,90.3,90.2,90.2,90.3,90.2,90.2,90.3,90.3,90.2,90.3,90.2,90.3,90.3,90.2,90.3,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.2,90.3,90.3,90.2,90.3,90.2,90.2,90.2,90.2,90.3,90.2,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.3,90.3,90.2,90.3,90.2,90.3,90.3,90.3,90.3,90.2,90.3,90.3,90.3,90.3,90.2,90.3,90.3,90.2,90.3,90.2,90.2,90.2,90.2,90.2,90.3,90.3,90.2,90.2,90.3,90.2,90.3,90.2,90.2,90.3,90.2,90.3,90.2,90.2,90.3,90.3,90.2,90.3,90.2,90.2,90.2,90.2,90.2,90.2,90.3,90.3,90.2,90.2,90.3,90.3,90.2,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.2,90.3,90.3,90.2,90.2,90.3,90.2,90.2,90.3,90.3,90.2,90.2,90.3,90.2,90.2,90.2,90.2,90.2,90.3,90.3,90.3,90.2,90.2,90.2,90.2,90.2,90.3,90.2,90.3,90.3,90.3,90.2,90.3,90.3,90.3,90.3,90.3,90.2,90.2,90.2,90.2,90.3,90.3,90.3,90.2,90.3,90.3,90.2,90.3,
Blocking efficiency,%,98.7,98.1,98.7,99.2,99.3,99.1,98.9,99.0,99.3,98.8,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.9,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.9,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.7,97.9,98.6,99.2,99.3,99.1,99.0,99.0,99.3,98.5,97.9,98.5,99.2,99.3,99.1,99.0,99.0,99.3,98.4,97.9,98.5,99.2,99.3,99.1,99.0,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,99.0,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.2,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.7,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.7,98.4,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.7,98.4,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.7,98.4,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.2,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,98.9,99.0,99.3,98.3,97.8,98.5,99.1,99.3,99.1,99.0,99.0,99.3,98.4,97.9,98.5,99.2,99.3,99.1,99.0,99.0,99.3,98.5,97.9,98.6,99.2,99.3,99.1,99.0,99.0,99.3,98.7,97.9,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.8,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.8,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.8,98.0,98.6,99.2,99.3,99.1,98.9,99.0,99.3,98.7,98.1,98.7,99.2,99.3,99.1,98.9,99.0,99.3,
Attenuation efficiency,%,86.6,90.8,91.2,91.4,91.4,91.4,91.4,91.3,91.3,86.7,90.7,91.2,91.3,91.4,91.4,91.3,91.3,91.3,87.0,90.6,91.1,91.3,91.3,91.3,91.3,91.3,91.3,87.2,90.6,91.1,91.2,91.3,91.3,91.3,91.3,91.3,87.4,90.5,91.0,91.2,91.2,91.3,91.3,91.3,91.3,87.6,90.5,91.0,91.1,91.2,91.2,91.2,91.3,91.3,87.9,90.4,90.9,91.1,91.2,91.2,91.2,91.2,91.3,88.1,90.3,90.9,91.0,91.1,91.2,91.2,91.2,91.3,88.3,90.3,90.8,91.0,91.1,91.2,91.2,91.2,91.3,88.4,90.2,90.8,91.0,91.1,91.1,91.2,91.2,91.2,88.6,90.2,90.8,91.0,91.1,91.1,91.2,91.2,91.2,88.8,90.2,90.7,90.9,91.0,91.1,91.2,91.2,91.2,88.8,90.2,90.7,90.9,91.0,91.1,91.1,91.2,91.2,88.8,90.2,90.7,90.9,91.0,91.1,91.1,91.2,91.2,88.7,90.2,90.7,90.9,91.0,91.1,91.1,91.2,91.2,88.7,90.2,90.8,90.9,91.0,91.1,91.2,91.2,91.2,88.6,90.2,90.8,91.0,91.1,91.1,91.2,91.2,91.2,88.4,90.2,90.8,91.0,91.1,91.1,91.2,91.2,91.3,88.2,90.3,90.8,91.0,91.1,91.2,91.2,91.2,91.3,88.0,90.3,90.9,91.1,91.1,91.2,91.2,91.2,91.3,87.8,90.4,90.9,91.1,91.2,91.2,91.2,91.3,91.3,87.6,90.5,91.0,91.1,91.2,91.2,91.3,91.3,91.3,87.3,90.5,91.0,91.2,91.2,91.3,91.3,91.3,91.3,87.1,90.6,91.1,91.2,91.3,91.3,91.3,91.3,91.3,86.9,90.7,91.1,91.3,91.3,91.3,91.3,91.3,91.3,86.7,90.7,91.2,91.3,91.4,91.4,91.3,91.3,91.3,86.6,90.8,91.2,91.4,91.4,91.4,91.4,91.3,91.3,
Image intercept efficiency,%,83.6,94.7,95.5,95.8,96.0,96.1,96.2,96.2,96.2,84.0,94.5,95.3,95.7,95.9,96.0,96.1,96.2,96.2,84.9,94.4,95.2,95.5,95.8,95.9,96.0,96.1,96.2,85.5,94.2,95.0,95.4,95.6,95.8,96.0,96.1,96.1,86.3,94.0,94.9,95.2,95.5,95.7,95.9,96.0,96.1,87.1,93.8,94.7,95.1,95.4,95.6,95.8,95.9,96.1,88.0,93.6,94.5,95.0,95.3,95.5,95.7,95.9,96.0,88.5,93.4,94.4,94.8,95.1,95.4,95.6,95.8,96.0,89.2,93.3,94.3,94.7,95.0,95.3,95.6,95.8,96.0,89.8,93.1,94.2,94.6,95.0,95.2,95.5,95.8,96.0,90.5,93.0,94.1,94.6,94.9,95.2,95.5,95.7,96.0,90.8,93.0,94.0,94.5,94.9,95.2,95.4,95.7,95.9,91.0,92.9,94.0,94.5,94.8,95.1,95.4,95.7,95.9,91.0,92.9,94.0,94.5,94.8,95.1,95.4,95.7,95.9,90.8,93.0,94.0,94.5,94.8,95.1,95.4,95.7,95.9,90.8,93.0,94.0,94.5,94.9,95.2,95.4,95.7,95.9,90.3,93.1,94.1,94.6,94.9,95.2,95.5,95.7,96.0,89.7,93.2,94.2,94.7,95.0,95.3,95.5,95.8,96.0,89.1,93.3,94.3,94.7,95.1,95.3,95.6,95.8,96.0,88.4,93.5,94.4,94.9,95.2,95.4,95.7,95.8,96.0,87.7,93.7,94.6,95.0,95.3,95.5,95.7,95.9,96.0,86.9,93.9,94.7,95.1,95.4,95.6,95.8,96.0,96.1,86.1,94.0,94.9,95.3,95.5,95.7,95.9,96.0,96.1,85.3,94.2,95.1,95.4,95.7,95.8,96.0,96.1,96.1,84.7,94.4,95.2,95.6,95.8,95.9,96.1,96.1,96.2,83.9,94.5,95.4,95.7,95.9,96.0,96.1,96.2,96.2,83.5,94.7,95.5,95.8,96.0,96.1,96.2,96.2,96.2,
Absorption efficiency,%,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,
Solar field optical efficiency,%,1.4,32.7,45.3,50.7,53.3,55.0,56.3,57.5,58.4,1.4,32.9,45.7,51.1,53.6,55.2,56.5,57.6,58.5,1.4,33.2,46.0,51.4,53.9,55.5,56.7,57.7,58.6,1.4,33.6,46.5,51.8,54.3,55.8,56.9,57.9,58.6,1.4,34.1,47.0,52.2,54.6,56.1,57.1,58.0,58.7,1.4,34.4,47.4,52.6,55.0,56.4,57.3,58.2,58.8,1.5,34.9,47.9,53.0,55.3,56.6,57.6,58.3,58.9,1.5,35.3,48.3,53.4,55.6,56.9,57.8,58.4,58.9,1.5,35.7,48.7,53.8,55.9,57.1,57.9,58.6,59.0,1.5,35.9,49.0,54.0,56.2,57.3,58.1,58.7,59.0,1.6,36.1,49.2,54.3,56.4,57.5,58.2,58.7,59.1,1.6,36.3,49.4,54.4,56.5,57.6,58.3,58.8,59.1,1.6,36.4,49.5,54.6,56.6,57.7,58.3,58.8,59.1,1.6,36.4,49.5,54.6,56.6,57.7,58.3,58.8,59.1,1.6,36.3,49.4,54.5,56.6,57.6,58.3,58.8,59.1,1.6,36.2,49.3,54.4,56.5,57.6,58.3,58.8,59.1,1.5,36.1,49.1,54.2,56.3,57.4,58.2,58.7,59.1,1.5,35.9,48.9,54.0,56.1,57.3,58.0,58.6,59.0,1.5,35.6,48.5,53.6,55.8,57.0,57.9,58.5,59.0,1.5,35.1,48.1,53.3,55.5,56.8,57.7,58.4,58.9,1.4,34.7,47.7,52.9,55.2,56.5,57.5,58.3,58.8,1.4,34.3,47.3,52.5,54.9,56.3,57.3,58.1,58.8,1.4,33.9,46.8,52.1,54.5,56.0,57.1,58.0,58.7,1.4,33.5,46.4,51.7,54.2,55.7,56.8,57.8,58.6,1.4,33.1,45.9,51.3,53.8,55.4,56.6,57.7,58.5,1.4,32.8,45.5,51.0,53.5,55.2,56.4,57.6,58.5,1.4,32.6,45.2,50.6,53.3,54.9,56.3,57.5,58.4,
Average incident flux,kW/m2,14.4,344.6,478.1,535.3,562.7,580.4,594.3,606.6,616.6,14.3,347.4,481.8,538.7,565.7,582.9,596.2,607.8,617.2,14.8,350.8,485.8,542.6,569.1,585.6,598.3,609.3,618.0,14.4,355.0,490.7,546.8,572.7,588.6,600.5,610.7,618.7,14.8,359.3,495.4,551.1,576.5,591.7,602.8,612.3,619.5,15.0,363.3,500.1,555.4,580.2,594.7,605.1,613.8,620.2,15.3,368.1,505.0,559.7,583.7,597.6,607.3,615.3,621.0,15.4,372.1,509.3,563.6,587.1,600.3,609.4,616.7,621.6,15.5,376.3,513.3,567.2,590.1,602.7,611.2,617.9,622.3,16.0,379.1,516.6,570.3,592.7,604.8,612.8,618.9,622.8,16.4,381.0,518.9,572.7,594.8,606.5,614.1,619.8,623.2,16.5,382.7,520.9,574.5,596.3,607.7,615.0,620.3,623.5,16.6,383.7,522.0,575.6,597.2,608.4,615.5,620.7,623.6,16.6,383.7,522.2,575.8,597.5,608.6,615.7,620.8,623.7,16.4,383.5,521.8,575.3,597.0,608.2,615.4,620.6,623.6,16.5,382.3,520.3,574.0,595.9,607.3,614.7,620.2,623.4,16.3,380.4,518.2,571.9,594.2,606.0,613.7,619.5,623.1,15.9,378.5,515.7,569.3,591.9,604.2,612.3,618.6,622.6,15.4,375.2,512.2,566.0,589.1,601.9,610.6,617.5,622.1,15.3,370.8,507.9,562.3,586.0,599.4,608.7,616.2,621.4,15.2,366.5,503.5,558.4,582.6,596.7,606.6,614.8,620.7,15.0,362.0,498.6,554.0,579.0,593.7,604.4,613.3,620.0,14.8,357.9,493.9,549.7,575.3,590.7,602.1,611.8,619.2,14.3,353.8,489.2,545.5,571.6,587.7,599.8,610.3,618.5,14.9,349.7,484.4,541.4,568.1,584.8,597.6,608.8,617.7,14.5,346.5,480.6,537.6,564.8,582.1,595.5,607.4,617.0,14.5,343.5,476.9,534.3,561.9,579.7,593.7,606.2,616.4,
Peak incident flux,kW/m2,35.5,593.1,791.7,874.1,886.4,880.1,862.3,868.3,878.9,34.2,612.8,820.9,890.5,912.6,902.1,886.8,879.9,887.1,33.6,620.6,843.5,911.4,927.3,923.4,906.1,892.3,894.4,31.3,640.6,860.9,928.9,948.9,942.2,927.7,903.8,898.1,32.1,658.4,884.1,950.7,968.3,962.1,942.5,910.7,902.2,32.5,677.8,908.7,975.4,985.7,975.0,950.2,926.3,909.3,33.0,694.2,930.5,993.1,1001.7,986.2,962.3,934.6,918.3,33.1,711.1,942.1,1001.8,1013.9,1001.9,980.1,944.5,922.0,33.9,725.3,957.2,1017.1,1028.1,1018.8,984.5,951.6,927.3,32.9,736.9,969.1,1031.5,1039.3,1019.3,998.7,957.0,932.4,32.8,747.1,978.9,1038.5,1038.8,1019.6,992.1,964.0,935.3,32.1,756.5,981.3,1044.4,1042.1,1024.5,995.9,964.6,938.0,31.3,756.3,989.9,1049.3,1049.5,1027.3,1001.6,970.7,938.5,30.6,761.9,998.3,1051.1,1050.7,1032.6,1001.8,974.6,938.1,31.3,755.4,989.4,1045.6,1048.6,1027.6,1003.6,970.3,942.7,32.1,755.7,979.7,1042.0,1042.9,1022.1,994.5,965.4,935.3,32.9,745.0,977.9,1038.5,1036.9,1018.0,993.4,957.4,935.0,33.0,735.3,965.1,1029.2,1038.7,1017.6,994.9,961.6,931.4,33.5,722.5,955.8,1015.2,1021.6,1014.7,981.5,951.8,926.2,32.9,707.4,940.4,1001.9,1012.6,999.8,975.6,942.8,923.2,32.7,689.8,927.1,989.4,993.8,984.3,962.7,932.7,912.8,32.5,673.3,903.4,967.4,978.3,972.4,945.3,923.7,912.4,32.1,654.3,879.0,946.0,964.8,951.6,929.9,911.2,905.5,31.0,636.0,853.8,924.4,946.2,935.9,923.0,899.6,898.7,33.6,618.4,836.2,904.9,928.5,917.9,903.8,890.7,889.7,34.5,608.0,812.8,881.0,896.8,897.9,882.0,876.7,882.2,35.8,590.8,782.9,863.6,876.0,872.0,860.1,866.3,881.5,
